Agra,1
Aligarh,31
Ambedkarnagar,33
Amethi,66
Amroha,80
Auraiya,73
Ayodhya,8
Azamgarh,34
Badaun,35
Baghpat,74
Bahraich,3
Ballia,4
Balrampur,75
Banda,36
Barabanki,5
Bareilly,6
Basti,37
Bhadohi(Sant Ravi Nagar),38
Bijnor,39
Bulandshahar,40
Chandauli,76
Chitrakut,77
Deoria,42
Etah,43
Etawah,14
Farukhabad,9
Fatehpur,44
Firozabad,45
Gautam Budh Nagar,78
Ghaziabad,10
Ghazipur,47
Gonda,48
Gorakhpur,11
Hamirpur,49
Hardoi,13
Hathras,79
Jalaun (Orai),51
Jaunpur,15
Jhansi,52
Kannuj,81
Kanpur,16
Kanpur Dehat,87
Kasganj,88
Kaushambi,82
Khiri (Lakhimpur),85
Kushinagar,59
Lakhimpur,17
Lalitpur,18
Lucknow,19
Maharajganj,53
Mahoba,54
Mainpuri,20
Mathura,55
Mau(Maunathbhanjan),56
Meerut,21
Mirzapur,57
Muzaffarnagar,58
Oraya,86
Pillibhit,24
Pratapgarh,61
Prayagraj,2
Raebarelli,62
Rampur,63
Saharanpur,25
Sambhal,22
Sant Kabir Nagar,83
Shahjahanpur,26
Shamli,89
Shravasti,84
Siddharth Nagar,64
Sitapur,27
Sonbhadra,65
Unnao,68
Varanasi,30
